date,case_shiller,cs_ret,work_over55,housing_starts,monthly_supply,confidence,pop_growth,unemploy,10yr_treas,income,cpi,gini_ratio
7/1/1993,77.886,0.004747285,29.2,1254,5.3,77,0.001123237,5.8,5.81,30988.91667,144.5,0.44525
8/1/1993,78.132,0.003158462,29.5,1300,5.5,77.3,0.001194982,5.7,5.7,31039.33333,144.8,0.447
9/1/1993,78.201,0.000883121,29.3,1343,4.9,77.9,0.001155178,5.4,5.37,31089.75,145,0.44875
10/1/1993,78.177,-0.000306901,29.4,1392,5,82.7,0.001134678,5.4,5.33,31140.16667,145.6,0.4505
11/1/1993,78.177,0,29.3,1376,4.8,81.2,0.001003205,5.2,5.72,31190.58333,146,0.45225
12/1/1993,78.12,-0.000729115,29.4,1533,4.5,88.2,0.000952472,5.4,5.78,31241,146.3,0.454
1/1/1994,78.205,0.00108807,30.4,1272,5.9,94.3,0.000936279,6.2,5.76,31326.25,146.3,0.454166667
2/1/1994,78.211,7.67214E-05,30.1,1337,5,93.2,0.000778867,6.1,5.96,31411.5,146.7,0.454333333
3/1/1994,78.357,0.001866745,29.8,1564,4.8,91.5,0.000873636,5.7,6.42,31496.75,147.1,0.4545
4/1/1994,78.711,0.004517784,29.8,1465,5.2,92.6,0.001063457,5.1,6.92,31582,147.2,0.454666667
5/1/1994,79.219,0.00645399,30.3,1526,5.3,92.8,0.000936675,4.5,7.18,31667.25,147.5,0.454833333
6/1/1994,79.712,0.006223255,30,1409,6.2,91.2,0.001046117,4.8,7.08,31752.5,147.9,0.455
7/1/1994,80.074,0.004541349,29.9,1439,6.3,89,0.001079224,4.9,7.29,31837.75,148.4,0.455166667
8/1/1994,80.326,0.003147089,30.1,1450,6.1,91.7,0.001093245,4.8,7.24,31923,149,0.455333333
9/1/1994,80.348,0.000273884,30,1474,6,91.5,0.00111101,4.6,7.42,32008.25,149.3,0.4555
10/1/1994,80.31,-0.000472943,30.1,1450,5.6,92.7,0.001075688,4.4,7.74,32093.5,149.4,0.455666667
11/1/1994,80.175,-0.001680986,30.4,1511,6.3,91.6,0.00097616,4.3,7.96,32178.75,149.8,0.455833333
12/1/1994,80.085,-0.001122544,30.2,1455,6.6,95.1,0.000926069,4.2,7.83,32264,150.1,0.456
1/1/1995,80.036,-0.00061185,30.2,1407,6.8,97.6,0.000906331,5.2,7.8,32415,150.5,0.4555
2/1/1995,80.006,-0.000374831,30,1316,7.3,95.1,0.000852689,4.8,7.51,32566,150.9,0.455
3/1/1995,80.095,0.001112417,29.9,1249,6.8,90.3,0.000848192,4.7,7.21,32717,151.2,0.4545
4/1/1995,80.388,0.003658156,30,1267,6.7,92.5,0.000979303,4.6,7.07,32868,151.8,0.454
5/1/1995,80.71,0.004005573,29.8,1314,6.3,89.8,0.000914376,4.2,6.67,33019,152.1,0.4535
6/1/1995,81.086,0.004658654,29.7,1281,5.8,92.7,0.001022564,4.3,6.18,33170,152.4,0.453
7/1/1995,81.429,0.004230077,30.1,1461,5.6,94.4,0.001077853,4.4,6.26,33321,152.6,0.4525
8/1/1995,81.672,0.002984195,30,1416,6.1,96.2,0.001072941,4.4,6.52,33472,152.9,0.452
9/1/1995,81.757,0.001040748,30.3,1369,6.3,88.9,0.001157984,4.2,6.22,33623,153.1,0.4515
10/1/1995,81.747,-0.000122314,30.4,1369,6.3,90.2,0.001137929,4.1,6.05,33774,153.5,0.451
11/1/1995,81.652,-0.001162122,30.2,1452,6.8,88.2,0.000968384,4.2,5.96,33925,153.7,0.4505
12/1/1995,81.535,-0.00143291,29.9,1431,6.4,91,0.000851652,4.3,5.73,34076,153.9,0.45
1/1/1996,81.449,-0.001054762,29.9,1467,6.4,89.3,0.000776285,5.1,5.65,34194,154.7,0.450416667
2/1/1996,81.422,-0.000331496,30.2,1491,5.3,88.5,0.000794329,4.8,5.73,34312,155,0.450833333
3/1/1996,81.688,0.00326693,30.2,1424,6.2,93.7,0.000860771,4.7,6.24,34430,155.5,0.45125
4/1/1996,82.147,0.00561894,29.8,1516,6,92.7,0.000960554,4.4,6.5,34548,156.1,0.451666667
5/1/1996,82.624,0.005806664,30.2,1504,5.9,89.4,0.000948474,4.1,6.73,34666,156.4,0.452083333
6/1/1996,83.073,0.005434256,30.4,1467,6,92.4,0.001033042,4,6.91,34784,156.7,0.4525
7/1/1996,83.446,0.004490027,30.6,1472,5.7,94.7,0.001043113,4.2,6.87,34902,157,0.452916667
8/1/1996,83.674,0.002732306,30.4,1557,5,95.3,0.001145858,4.1,6.67,35020,157.2,0.453333333
9/1/1996,83.73,0.000669264,30.4,1475,5.2,94.7,0.001140842,4,6.85,35138,157.7,0.45375
10/1/1996,83.656,-0.000883793,30.3,1392,5.6,96.5,0.001098844,3.9,6.56,35256,158.2,0.454166667
11/1/1996,83.583,-0.000872621,30.4,1489,5.2,99.2,0.001097638,4.1,6.24,35374,158.7,0.454583333
12/1/1996,83.516,-0.000801598,30.5,1370,5,96.9,0.00091185,4.1,6.3,35492,159.1,0.455
1/1/1997,83.555,0.000466976,30.7,1355,4.7,97.4,0.000866759,4.8,6.56,35618.08333,159.4,0.455333333
2/1/1997,83.619,0.000765963,30.6,1486,4.5,99.7,0.000829157,4.6,6.42,35744.16667,159.7,0.455666667
3/1/1997,83.936,0.003791004,31,1457,4.1,100,0.000868973,4.4,6.69,35870.25,159.8,0.456
4/1/1997,84.35,0.004932329,30.8,1492,4.7,101.4,0.00096387,3.9,6.9,35996.33333,159.9,0.456333333
5/1/1997,84.896,0.006473029,31.1,1442,4.6,103.2,0.000951915,3.6,6.72,36122.41667,159.9,0.456666667
6/1/1997,85.43,0.006290049,30.8,1494,4.4,104.5,0.001028119,3.8,6.5,36248.5,160.2,0.457
7/1/1997,85.873,0.005185532,30.7,1437,4.4,107.1,0.001063744,3.8,6.27,36374.58333,160.4,0.457333333
8/1/1997,86.181,0.003586692,30.9,1390,4.3,104.4,0.00119086,3.8,6.27,36500.66667,160.8,0.457666667
9/1/1997,86.341,0.001856558,30.9,1546,4.2,106,0.001156505,3.7,6.23,36626.75,161.2,0.458
10/1/1997,86.438,0.001123452,31,1520,4.3,105.6,0.001093024,3.4,6.04,36752.83333,161.5,0.458333333
11/1/1997,86.662,0.002591453,31.4,1510,3.9,107.2,0.00100054,3.3,5.88,36878.91667,161.7,0.458666667
12/1/1997,86.878,0.002492442,31.4,1566,4.4,102.1,0.000897398,3.6,5.81,37005,161.8,0.459
